Labels,Label_NO,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12
3rd Ventricle,4,1,1,1,1,1,1,1,1,1,1,1,1
4th Ventricle,11,1,2,2,2,2,2,2,2,2,2,2,2
Right Accumbens Area,23,1,1,3,3,3,3,3,3,3,3,3,3
Left Accumbens Area,30,1,1,3,4,4,4,4,4,4,4,4,4
Right Amygdala,31,1,1,4,5,5,5,5,5,5,5,5,5
Left Amygdala,32,1,1,4,6,6,6,6,6,6,6,6,6
Brain Stem,35,1,2,5,7,7,7,7,7,7,7,7,7
Right Caudate,36,1,1,3,3,3,3,8,8,8,8,8,8
Left Caudate,37,1,1,3,4,4,4,9,9,9,9,9,9
Right Cerebellum Exterior,38,1,2,6,8,8,8,10,10,10,10,10,10
Left Cerebellum Exterior,39,1,2,6,9,9,9,11,11,11,11,11,11
Right Cerebellum White Matter,40,1,2,6,8,10,10,12,12,12,12,12,12
Left Cerebellum White Matter,41,1,2,6,9,11,11,13,13,13,13,13,13
Right Cerebral White Matter,44,1,1,7,10,12,12,14,14,14,14,14,14
Left Cerebral White Matter,45,1,1,7,11,13,13,15,15,15,15,15,15
Right Hippocampus,47,1,1,4,5,5,5,5,5,5,16,16,16
Left Hippocampus,48,1,1,4,6,6,6,6,6,6,17,17,17
Right Inf Lat Vent,49,1,1,1,12,14,14,16,16,16,18,18,18
Left Inf Lat Vent,50,1,1,1,12,15,15,17,17,17,19,19,19
Right Lateral Ventricle,51,1,1,1,12,14,16,18,18,18,20,20,20
Left Lateral Ventricle,52,1,1,1,12,15,17,19,19,19,21,21,21
Right Pallidum,55,1,1,3,3,3,18,20,20,20,22,22,22
Left Pallidum,56,1,1,3,4,4,19,21,21,21,23,23,23
Right Putamen,57,1,1,3,3,3,18,22,22,22,24,24,24
Left Putamen,58,1,1,3,4,4,19,23,23,23,25,25,25
Right Thalamus Proper,59,1,1,3,3,16,20,24,24,24,26,26,26
Left Thalamus Proper,60,1,1,3,4,17,21,25,25,25,27,27,27
Right Ventral DC,61,1,1,3,3,16,22,26,26,26,28,28,28
Left Ventral DC,62,1,1,3,4,17,23,27,27,27,29,29,29
Cerebellar Vermal Lobules I-V,71,1,2,6,13,18,24,28,28,28,30,30,30
Cerebellar Vermal Lobules VI-VII,72,1,2,6,13,19,25,29,29,29,31,31,31
Cerebellar Vermal Lobules VIII-X,73,1,2,6,13,20,26,30,30,30,32,32,32
Left Basal Forebrain,75,1,1,3,4,17,23,31,31,31,33,33,33
Right Basal Forebrain,76,1,1,3,3,16,22,32,32,32,34,34,34
Right ACgG anterior cingulate gyrus,100,1,1,4,5,5,5,5,5,33,35,35,35
Left ACgG anterior cingulate gyrus,101,1,1,4,6,6,6,6,6,34,36,36,36
Right AIns anterior insula,102,1,1,4,5,21,27,33,33,35,37,37,37
